KHDL_TD_2020,Khoa học dữ liệu,Chương trình ngành Khoa học dữ liệu (Đào tạo thí điểm) ban hành năm 2020
TT_2020,Toán tin,Chương trình ngành Toán tin hệ chuẩn ban hành năm 2020
TH_2020,Toán học,Chương trình ngành Toán học hệ chuẩn ban hành năm 2020
CLC_MTKHTT_2020,CLC Máy trính và khoa học thông tin,Chương trình ngành Máy trính và khoa học thông tin Chất lượng cao ban hành năm 2020
KHMTT_TD_2022,Khoa học máy tính và thông tin,Chương trình ngành Khoa học máy tính và thông tin (Đào tạo thí điểm) ban hành năm 2022
KHDL_2023,Khoa học dữ liệu,Chương trình ngành Khoa học dữ liệu ban hành năm 2023
TT_2023,Toán tin,Chương trình ngành Toán tin hệ chuẩn ban hành năm 2023
TH_2023,Toán học,Chương trình ngành Toán học hệ chuẩn ban hành năm 2023
KHMTTT_2023,Khoa học máy tính và thông tin,Chương trình ngành Khoa học máy tính và thông tin hệ chuẩn ban hành năm 2023
